species                     n_proteins  n_reps  percent_reps
Salmonella_enterica         4069505     85991   2.11306
Escherichia_coli            4030817     106621  2.64515
Helicobacter_pylori         2219713     155600  7.00992
Listeria_monocytogenes      1053886     17151   1.62741
Streptococcus_pneumoniae    967333      18256   1.88725
Campylobacter_jejuni        872599      24915   2.85526
Acinetobacter_baumannii     847582      44132   5.20681
Pseudomonas_aeruginosa      776073      35071   4.51903
Klebsiella_pneumoniae       699545      41097   5.87482
Campylobacter_coli          661445      16755   2.53309
Streptococcus_suis          633947      29636   4.67484
Enterococcus_faecalis       336353      20115   5.98032
Neisseria_meningitidis      312040      10417   3.33835
Enterococcus_faecium        234307      14898   6.35832
Streptococcus_pyogenes      224187      8259    3.68398
Staphylococcus_aureus       208589      19505   9.35092
Clostridioides_difficile    188092      31716   16.862
Staphylococcus_epidermidis  101396      9747    9.61281
Shigella_flexneri           52661       9612    18.2526
Shigella_sonnei             5494        4772    86.8584
Mycobacterium_tuberculosis  4635        4611    99.4822
